,eng,tok
502,like a raging wild bull gilgamesh snuffed the ground the watchman of the woods turned full of threatenings he cried out,jan kikamesi li toki wawa e ni mi jan kikamesi li jan lawa pi ma tomo uluku jan kuwawa ike o kama moli ona li wile utala e jan kuwawa kepeken ilo utala palisa jan enkitu li kama tawa utala kin poka ona taso ona li ken ala utala e ona

503,humbaba nodded his head and shook it menacing gilgamesh and on him he fastened his eye the eye of death,jan kuwawa li tawa wawa weka tan nasin pi ilo utala kalama uta ona li sama kalama pi telo suli wawa uta ona li sama seli ona li utala la ma li pakala nena suli li tawa kon li kama pimeja

504,then gilgamesh called to shamash and his tears were flowing,jan kikamesi li pilin ike li pana e telo oko ona li toki e ni a ona li wawa mute mi ken anpa ala e ona

505,’o glorious shamash,jan sewi utu o

506,i have followed the road you commanded but now if you send no succour how shall i escape,o pana e pona tawa mi

507,glorious shamash heard his prayer,jan sewi utu li kute e toki pi jan kikamesi

508,and he summoned the great wind the north wind the whirlwind the storm and the icy wind the tempest and the scorching wind they came like dragons like a scorching fire like a serpent that freezes the heart a destroying flood and the lightning’s fork,ona li weka e kon tawa mute tan insa lupa pi nena kiwen kon tawa seli li utala e jan kuwawa kon tawa lete li utala e ona kon tawa telo li utala e jan kuwawa kon tawa pi ko kiwen lili li utala e ona kon tawa tan ma lete li utala e jan kuwawa kon tawa tan ma seli li utala e ona

509,the eight winds rose up against humbaba they beat against his eyes,kon tawa mute li utala e jan kuwawa

510,he was gripped unable to go forward or back,ona li ken ala tawa

511,gilgamesh shouted ‘by the life of ninsun my mother and divine lugulbanda my father in the country of the living in this land i have discovered your dwelling my weak arms and my small weapons i have brought to this land against you and now i will enter your house’,

512,so he felled the first cedar and they cut the branches and laid them at the foot of the mountain at the first stroke humbaba blazed out but still they advanced they felled seven cedars and cut and bound the branches and laid them at the foot of the mountain and seven times humbaba loosed his glory on them as the seventh blaze died out they reached his lair,tenpo ni la jan kikamesi en jan enkitu li ken tawa ona li ken utala e ona kepeken ilo utala ona

513,he slapped his thigh in scorn he approached like a noble wild bull roped on the mountain a warrior whose elbows are bound together the tears started to his eyes and he was pale,jan kuwawa li awen sinpin pi lawa ona li kama pona lukin ona li toki e ni

514,‘gilgamesh let me speak,jan kikamesi o kute e mi jan lawa wawa o moli ala e mi

515,i have never known a mother no nor a father who reared me,mi sona ala e mama mi

516,i was born of the mountain he reared me,nena suli li mama mi

517,and enlil made me the keeper of this forest,jan sewi enli li wile e ni jan li wile pakala e kasi suli ni la mi utala e ona li moli e ona

518,let me go free gilgamesh and i will be your servant you shall be my lord all the trees of the forest that i tended on the mountain shall be yours i will cut them down and build you a palace’,o pilin ike ala tawa mi mi wile e ni sina jan lawa mi mi anpa e kasi suli mi li pana e ona mute tawa sina o moli ala e mi o weka e mi

519,he took him by the hand and led him to his house so that the heart of gilgamesh was moved with compassion,jan kikemesi li pini pilin e ike tawa jan kuwawa

520,he swore by the heavenly life by the earthly life by the underworld itself,ona li toki tawa jan enkitu li toki e ni

521,‘o enkidu should not the snared bird return to its nest and the captive man return to his mother’s arms’,jan li kama jo e waso lili la jan li wile weka e ona li wile e ni ona li tawa mama ona ni li pona ala pona

522,enkidu answered,jan enkitu li toki e ni

523,‘the strongest of men will fall to fate if he has no judgement namtar the evil fate that knows no distinction between men will devour him,o kute ala e jan kuwawa ona li ike o weka ala e ona

524,if the snared bird returns to its nest if the captive man returns to his mother’s arms then you my friend will never return to the city where the mother is waiting who gave you birth he will bar the mountain road against you and make the pathways impassable’,sina weka e ona la ona li pakala e nasin tawa ma tomo uluku lon ma ni li utala e mi mute

525,humbaba said,jan kuwawa li toki e ni

526,‘enkidu what you have spoken is evil,jan enkitu o toki sina li toki ike li toki utala

527,you a hireling dependent for your bread,jan lawa sina li pana e moku tawa sina tan ni taso la sina tawa lon monsi ona

528,in envy and for fear of a rival you have spoken evil words’,tan ni la sina wile ala e ni jan kikamesi li jan lawa mi kin jan anpa o o toki ala

529,enkidu said ‘do not listen gilgamesh this humbaba must die kill humbaba first and his servants after’,jan enkitu li pilin ike wawa

530,but gilgamesh said ‘if we touch him the blaze and the glory of light will be put out in confusion the glory and glamour will vanish its rays will be quenched’,

531,enkidu said to gilgamesh ‘not so my friend first entrap the bird and where shall the chicks run then afterwards we can search out the glory and the glamour when the chicks run distracted through the grass’,

532,gilgamesh listened to the word of his companion he took the axe in his hand he drew the sword from his belt and he struck humbaba with a thrust of the sword to the neck and enkidu his comrade struck the second blow,ona li utala wawa e jan kuwawa kepeken ilo utala palisa li weka e lawa ona tan sijelo ona

533,at the third blow humbaba fell,jan kuwawa li anpa lon ma

534,then there followed confusion for this was the guardian of the forest whom they had felled to the ground for as far as two leagues the cedars shivered when enkidu felled the watcher of the forest he at whose voice hermon and lebanon used to tremble now the mountains were moved and all the hills for the guardian of the forest was killed,kasi suli mute li kalama sama pilin ike

535,they attacked the cedars the seven splendours of humbaba were extinguished so they pressed on into the forest bearing the sword of eight talents they uncovered the sacred dwellings of the anunnaki and while gilgamesh felled the first of the trees of the forest enkidu cleared their roots as far as the banks of euphrates,jan kikamesi en jan enkitu li anpa e kasi suli jan uluku li pali poka ona jan enkitu li toki e ni jan sewi utu li pona mute mi wile pali e sinpin suli pi lupa pi tomo ona kasi suli ni li pona mute tawa pali ni ona mute li anpa e kasi suli mute

536,they set humbaba before the gods before enlil they kissed the ground and dropped the shroud and set the head before him when he saw the head of humbaba enlil raged at them,jan sewi enli li tawa ma pi kasi suli ona li lukin li toki tawa ona tu li toki e ni

537,’why did you do this thing,sina moli e ona tan seme

538,from henceforth may the fire be on your faces,seli li pakala e sinpin sina

539,may it eat the bread that you eat,seli li moku e moku sina

540,may it drink where you drink’,seli li moku e telo sina

541,then enlil took again the blaze and the seven splendours that had been humbaba’s he gave the first to the river and he gave to the lion to the stone of execration to the mountain and to the dreaded daughter of the queen of hell,jan sewi enli li kama jo e wawa sewi pi jan kuwawa li tawa weka

542,they built a raft and returned home along the euphrates with the giant tree,ona li kama jo e kasi suli mute li tawa tan nena pi kasi suli tawa telo tawa pulatu ona li wan e kasi suli mute li pali e supa tawa mute ona li tawa lon supa ni li tawa e ona lon telo tawa kepeken palisa nasin ni la ona li tawa lon telo tenpo suno mute lili pini la ona li tawa ma tomo uluku

543,o gilgamesh king and conqueror of the dreadful blaze wild bull who plunders the mountain who crosses the sea glory to him and from the brave the greater glory is enki’s,jan mute li kulupu li toki e ni o lukin o pilin pona ona li jan utala pona kin nimi ona li suli

544,the egg,sike mama

545,andy weir,sebastian morr

546,you were on your way home,tenpo pi tawa tomo sina la

547,when you died,sina moli

548,it was a car accident,tan moli li pakala pi tomo tawa

549,nothing particularly remarkable,ona li suli ala

550,but fatal nonetheless,taso sina moli

551,you left behind a wife and two children,sina jo e meli e jan lili tu

552,it was a painless death,sina pilin ala e pakala

553,the emts tried their best to save you,jan sona sijelo li pali mute

554,but to no avail,taso ona li weka ala e moli

555,your body was so utterly shattered,moli ni li pona tawa sina tan ni

556,you were better off trust me,sijelo sina li pakala mute mute

557,and that’s when you met me,tenpo ni la sina kama tawa mi

558,what… what happened you asked where am i,sina toki pi wile sona e ni seme… seme li kama mi lon seme

559,you died i said matteroffactly,mi toki lon e ni sina moli

560,no point in mincing words,mi wile toki e ijo lon

561,there was a… a truck,mi lukin e… e tomo tawa suli

562,and it was skidding…,ona li tawa nasa…

563,yup i said,mi toki e ni lon

564,i… i died,mi… mi moli anu seme

565,yup but don’t feel bad about it,mi toki e ni moli taso o pilin ike ala tawa ni

566,everyone dies i said,jan ali li moli

567,you looked around,sina lukin sike

568,there was nothingness,ma ala li lon ni

569,just you and me,sina taso en mi taso li lon

570,what is this place you asked,sina toki pi wile sona e ni ma ni li seme

571,is this the afterlife,ona li ma pi jan moli anu seme

572,more or less i said,mi toki e ni ni li sama lon

573,are you god you asked,sina toki pi wile sona e ni sina jan sewi anu seme

574,yup i replied i’m god,mi toki e ni lon mi jan sewi

575,my kids… my wife you said,sina toki e ni jan lili mi… meli mi…

576,what about them,seme pi ona mute li suli

577,will they be all right,ona mute li pilin pona anu seme

578,that’s what i like to see i said,mi toki e ni ni li pona tawa mi

579,you just died,tenpo pini lili la sina moli

580,and your main concern is for your family,taso sina pilin pi kulupu mama sina

581,that’s good stuff right there,sina jan pona

582,you looked at me with fascination,sina lukin pi pilin wawa e mi

583,to you i didn’t look like god,mi lukin ala sama jan sewi tawa sina

584,i just looked like some man,mi lukin sama jan ijo

585,or possibly a woman,

586,some vague authority figure maybe,ken la mi lukin sama jan lawa

587,more of a grammar school teacher,mi lukin sama jan pi pana sona

588,than the almighty,mi lukin ala sama jan pi wawa ali

589,don’t worry i said,mi toki e ni o pilin ike ala

590,they’ll be fine,tenpo kama la ona mute li pilin pona

591,your kids will remember you,jan lili sina li pilin e ni

592,as perfect in every way,sina pona mute

593,they didn’t have time,ona li jo ala e tenpo tawa ni

594,to grow contempt for you,ona li pilin ike tawa sina

595,your wife will cry on the outside,meli sina li pana e telo oko

596,but will be secretly relieved,insa taso la ona li pilin pona

597,to be fair,mi pilin e ni

598,your marriage was falling apart,wan pi sina en ona li kama tu

599,if it’s any consolation,ken la sina pilin pona tawa ni

600,she’ll feel very guilty,ona li pilin ike tawa ni

601,for feeling relieved,ona li pilin pona tawa weka sina

602,oh you said,sina toki e ni a

603,so what happens now,tenpo ni la seme li kama

604,do i go to heaven or hell or something,mi tawa ma moli pona anu ma moli ike anu seme

605,neither i said,mi toki e ni ala

606,you’ll be reincarnated,tenpo kama la mi sin e lon sina

607,ah you said,sina toki e ni a

608,so the hindus were right,jan pi nasin sewi intu li sona pona

609,all religions are right in their own way i said,mi toki e ni nasin sewi ali li sona pona

610,walk with me,o tawa poka mi

611,you followed along,sina tawa poka mi

612,as we strode through the void,mi tu li tawa lon ma ala

613,where are we going,mi tu li tawa ma seme

614,nowhere in particular i said,mi toki e ni mi tu li tawa ma ijo

615,it’s just nice to walk while we talk,taso mi tu li toki la tawa li pona tawa mi

616,so what’s the point then you asked,sina toki pi wile sona e ni sina pali e ni tan seme

617,when i get reborn,sina sin e lon mi la

618,i’ll just be a blank slate right,mi kama jan pi sona ala anu seme

619,a baby,mi jan lili

620,so all my experiences and everything i did in this life,ali pi lon mi en pali ali mi

621,won’t matter,li suli ala

622,not so i said,mi toki e ni ona li suli

623,you have within you all the knowledge and experiences,sina jo e sona

624,of all your past lives,pi lon ali sina lon insa sina

625,you just don’t remember them right now,taso tenpo ni la sina sona ala e ona

626,i stopped walking and took you by the shoulders,mi pini e tawa mi li pilin e sewi pi monsi sina

627,your soul is more magnificent beautiful,sina ken ala sona e ali ni

628,and gigantic than you can possibly imagine,kon sina li pona mute li suli mute

629,a human mind can only contain a tiny fraction,sona jan li ken jo e ijo lili lili wan taso

630,of what you are,pi kon suli sina

631,it’s like sticking your finger in a glass of water,ni li sama ni sina pana e palisa luka sina tawa poki tan ni

632,to see if it’s hot or cold,sina wile sona e ni telo li lete anu seli

633,you put a tiny part of yourself into the vessel,sina pana e ijo lili lili wan sina tawa poki

634,and when you bring it back out,sina weka e ona tan poki la

635,you’ve gained all the experiences it had,ona li pana e sona ali pi poki ni tawa sina

636,you’ve been in a human for the last 48 years,tenpo suli la sina lon sijelo jan

637,so you haven’t stretched out yet and felt,sina pilin ala e ni

638,the rest of your immense consciousness,kon sina li suli mute

639,if we hung out here for long enough,mi tu li awen lon ni la

640,you’d start remembering everything,sina kama sona sin e ali

641,but there’s no point,taso ni li pona ala

642,to doing that between each life,tenpo ali la mi tu li awen

643,how many times have i been reincarnated then,tenpo pi mute seme la sina sin e lon mi

644,oh lots lots and lots,mi toki e ni a tenpo mute tenpo mute mute

645,an in to lots of different lives i said,mi pana sijelo pi jan ante mute

646,this time around,tenpo ni pi kama lon la

647,you’ll be a chinese peasant girl,sina meli lili sonko li pali e kili e soweli

648,in 540 ad,li lon tenpo pini pini

649,wait what you stammered,sina toki pilin e ni a seme

650,you’re sending me back in time,sina pana e mi tawa tenpo pini anu seme

651,well i guess technically,a ni li sama lon

652,time as you know it,sina sona e tenpo

653,only exists in your universe,taso tenpo li lon ma suli sina taso

654,things are different where i come from,ma mi la ijo li ante

655,where you come from you said,sina toki e ni ma sina

656,oh sure i explained,mi toki pona a lon

657,i come from somewhere,mi kama tan ma ijo

658,somewhere else,mi kama tan ma ante

659,and there are others like me,jan sewi ante li lon ma ni

660,i know you’ll want to know,mi sona e ni sina wile sona e ni

661,what it’s like there,ma ni li seme lukin

662,but honestly you wouldn’t understand,taso mi toki e ni tawa sina la sina ken ala sona e ni

663,oh you said a little let down,sina toki pi ike lili e ni a

664,but wait,taso o kute e mi

665,if i get reincarnated to other places in time,mi tawa tenpo ante la

666,i could have interacted with myself at some point,ni li ken tenpo ijo la mi toki tawa mi

667,sure happens all the time,lon tenpo mute la ni li kama

668,and with both lives only aware of their own lifespan,sina tu li sona e lon sina wan taso la

669,you don’t even know it’s happening,sina sona ala e ni sina toki tawa sina

670,so what’s the point of it all,seme li tan ali

671,seriously i asked seriously,mi toki e ni a sina toki pi wile sona e ni

672,you’re asking me for the meaning of life,sina wile sona e ni seme li tan ali

673,isn’t that a little stereotypical,jan ali li wile sona e ni

674,well it’s a reasonable question you persisted,sina toki pi awen pona e ni mi wile sona e tan

675,i looked you in the eye,mi lukin e oko sina

676,the meaning of life,tan ali

677,the reason i made this whole universe,en tan pi ma suli ni

678,is for you to mature,li ni sina kama sona

679,you mean mankind,sina toki e ijo pi jan ali anu seme

680,you want us to mature,sina wile ala wile e ni mi mute li kama sona

681,no just you,wile ala mi wile e ni sina taso kama sona

682,i made this whole universe for you,mi pali e ma suli ni tawa sina taso

683,with each new life you grow and mature,sina lon sin la sina kama suli

684,and become a larger and greater intellect,li kama sona

685,just me what about everyone else,mi taso sina pali ala pali e ma suli tawa jan ante

686,there is no one else i said,mi toki e ni jan ante li lon ala

687,in this universe there’s just you and me,sina taso en mi taso li lon ma suli ni

688,you stared blankly at me,sina lukin pi wawa ala e mi

689,but all the people on earth…,taso jan ali pi lon ma sike…

690,all you different incarnations of you,jan ali li sina jan ali li sina ante

691,wait i’m everyone,o awen mi jan ali

692,now you’re getting it,mi toki e ni lon tenpo ni la sina sona

693,i said with a congratulatory slap on the back,mi pilin e sewi pi monsi sina tan ni mi pilin pona

694,i’m every human being who ever lived,tenpo pini la mi jan ali ala jan ali

695,or who will ever live yes,jan ali tenpo kama kin la sina jan ali

696,i’m abraham lincoln,mi jan epapan linkon tan seme

697,and you’re john wilkes booth too i added,mi toki e ni sina jan jon wike pu kin

698,i’m hitler you said appalled,sina toki ike e ni mi jan itala tan seme

699,and you’re the millions he killed,jan itala li moli e jan mute mute mute sina jan mute ni kin

700,i’m jesus,mi jan jesu tan seme

701,and you’re everyone who followed him,jan mute li tawa poka ona sina jan mute ni kin

702,you fell silent,sina pini e toki sina

703,every time you victimized someone i said,mi toki e ni sina pakala e jan la

704,you were victimizing yourself,sina pakala e sina

705,every act of kindness you’ve done,sina pali e pona tawa jan la

706,you’ve done to yourself,sina pali e pona tawa sina

707,every happy and sad moment ever experienced by any human,jan ali li pilin pona anu pilin ike la

708,was or will be experienced by you,sina pilin sama

709,you thought for a long time,tenpo suli la sina pilin e ni

710,why you asked me why do all this,sina toki pi wile sona e ni sina pali e ni tan seme

711,because someday you will become like me,tan li ni tenpo ijo la sina kama sama mi

712,because that’s what you are,sina ni

713,you’re one of my kind,sina sama mi

714,you’re my child,sina jan lili mi

715,whoa you said incredulous,sina toki pilin e ni a

716,you mean i’m a god,mi jan sewi anu seme

717,no not yet,tenpo ni la sina jan sewi ala

718,you’re a fetus,sina jan sewi pi open ala

719,you’re still growing,sina suli kin e sina

720,once you’ve lived every human life throughout all time,tenpo ali la sina jo lon pi jan ali

721,you will have grown enough to be born,ni li kama la sina suli li open e lon sina

722,so the whole universe you said it’s just…,sina toki e ni ma suli ali li …

723,an egg i answered,mi toki kin e ni sike mama taso

724,now it’s time for you to move on to your next life,tenpo ni la mi wile e ni mi sin e lon sina

725,and i sent you on your way,mi pana e sina tawa nasin sina

726,winniethepooh,soweli wini pu

727,a a milne,jan tepan

728,to her,tawa ona la

729,hand in hand we come,luka lon luka la mi tu li kama 

730,christopher robin and i,jan kitopa jopin en mi 

731,to lay this book in your lap,tan ni mi tu li wile pana e lipu ni tawa sina

732,say you’re surprised,o toki e ni sina pilin pi sin nasa anu seme

733,say it’s just what you wanted,o toki e ni sina wile e ni taso anu seme

734,because it’s yours ,ona li ijo sina a

735,because we love you,tan ni mi tu li olin e sina

736,introduction,kama lipu

737,if you happen to have read another book about christopher robin you may remember that he once had a swan or the swan had christopher robin i don’t know which and that he used to call this swan pooh,sina lukin e sitelen pi lipu ante pi ijo pi jan kitopa jopin la ken la sina sona e ni tenpo pini la ona li jo e waso walo anu waso walo li jo e jan kitopa jopin mi sona ala en ona li pana e nimi pu tawa waso walo ni

738,that was a long time ago and when we said goodbye we took the name with us as we didn’t think the swan would want it any more,tenpo suli li kama lon pini pi ijo ni mi tu li toki kulupu e tawa pona li awen e nimi tan ni tawa mi tu la waso walo ni li awen ala wile e ona

739,well when edward bear said that he would like an exciting name all to himself christopher robin said at once without stopping to think that he was winniethepooh,ni la soweli pi luka wawa etuwa li toki e ni ona li wile jo e nimi pi sin nasa pi ona sama taso tenpo sama la jan kitopa jopin li toki e ni ona li soweli wini pu

740,and he was,a ona li ona

741,so as i have explained the pooh part,pona mi pana e sona pi soweli pu

742,i will now explain the rest of it,kama la mi pana e sona pi ale ante

743,you can’t be in london for long without going to the zoo,jan li lon ma tomo lantan la tenpo lili la ona li kama wile tawa ma sijelo

744,there are some people who begin the zoo at the beginning called wayin and walk as quickly as they can past every cage until they get to the one called wayout,jan pi mute wan li kama insa ona kepeken lupa tawawinsa li lukin tawa lon tenpo pi lili mute lon poka pi tomo sijelo ale tawa lupa pi tomo sijelo tawaweka

745,but the nicest people go straight to the animal they love the most and stay there,taso jan pi suwi sin li tawa pona tawa sijelo li awen lon ona li olin mute e ona

746,so when christopher robin goes to the zoo he goes to where the polar bears are and he whispers something to the third keeper from the left,sama ni la jan kitopa jopin li tawa ma sijelo la ona li tawa soweli walo pi luka wawa li toki pi kalama lili tawa jan sinpin nanpa mute

747,and doors are unlocked,lupa li kama open

748,and we wander through dark passages and up steep stairs until at last we come to the special cage,mi tu li tawa lon nasin pimeja li tawa sewi lon mute supa tawa tomo sijelo

749,and the cage is opened,tomo ni li kama open

750,and out trots something brown and furry,tan insa ona la ijo pimeja pi linja mute li kama

751,and with a happy cry of oh bear christopher robin rushes into its arms,jan kitopa jopin li toki wawa e soweli pi luka wawa o li tawa lon tenpo sama tawa luka ona

752,now this bear’s name is winnie,tenpo ni la nimi pi soweli ni pi luka wawa li wini

753,which shows what a good name for bears it is,ni li pana e sona ni ona li toki pona tawa soweli pi luka wawa

754,but the funny thing is that we can’t remember whether winnie is called after pooh or pooh after winnie,taso ni li musi mi tu li ken ala awen sona e ni soweli wini li kama jo e nimi ona tan soweli pu anu soweli pu li kama jo e nimi ona tan soweli wini

755,we did know once,tenpo pini wan la mi tu li sona

756,but we have forgotten…,taso mi tu li pini sona…

757,i had written as far as this when piglet looked up and said in his squeaky voice what about me,mi ken sitelen e nimi pi mute ni taso tan ni soweli lili li lukin e sewi li toki e ni kepeken uta lili seme mi li lon

758,my dear piglet i said the whole book is about you,mi toki e ni soweli pona mi pi palisa monsi sike o ale lipu li toki e ijo sina

759,so it is about pooh he squeaked,ona li toki e ni kepeken uta lili ni la ona li toki e ijo pi soweli pu

760,you see what it is,

761,he is jealous because he thinks pooh is having a grand introduction all to himself,ona li pilin pi lili ike tan ni nimi pi soweli pu li ken kama ijo suli tawa jan

762,pooh is the favourite of course,ni li sona soweli pu li pona mute tawa jan kitopa jopin

763,there’s no denying it,jan li ken ala toki e ijo ante

764,but piglet comes in for a good many things which pooh misses,taso soweli lili li jo e ijo pona soweli pu li jo ala e ona

765,because you can’t take pooh to school without everybody knowing it,jan li ken ala tawa tomo sona e soweli pu lon ni ala jan ale kama sona e ni

766,but piglet is so small that he slips into a pocket,taso soweli lili li lili ni ona li ken kama lon poki

767,where it is very comforting to feel him when you are not quite sure whether twice seven is twelve or twentytwo,jan li pilin sona ala e ni esun tu li luka tu en tu anu luka tu tu la ona li ken luka e soweli lili li kama sin pilin pona

768,sometimes he slips out and has a good look in the inkpot,tenpo pi mute wan la ona li kama weka li lukin pona e poki pi telo sitelen

769,and in this way he has got more education than pooh,a ona li kama sona e mute soweli pu li kama sona e lili

770,but pooh doesn’t mind,taso tawa soweli pu la ni li suli ala

771,some have brains and some haven’t he says,ona li toki e ni jan wan li jo e lawa jan ante li jo ala e ona

772,and there it is,a ni

773,and now all the others are saying what about us,tenpo ni la jan ante ale li toki e ni seme pi mi mute li lon

774,so perhaps the best thing to do is to stop writing introductions and get on with the book,tan ni la ken la mi wile pini sitelen e kama pi lipu ni li wile kama pali e lipu sama

775,a a m,jan a a m

776,chapter i,wan lipu nanpa wan

777,in which we are introduced to winniethepooh and some bees and the stories begin,ona la mi mute li kama sona e soweli wini pu e pipi kon pi ko suwi en toki li kama

778,here is edward bear coming downstairs now,ni la soweli pi luka wawa etuwa li tawa anpa kepeken mute supa

779,bump bump bump on the back of his head behind christopher robin,monsi lawa ona li kalama pun pun pun lon monsi pi jan kitopa jopin

780,it is as far as he knows the only way of coming downstairs,tawa ona la kepeken nasin ni taso la jan li ken tawa anpa kepeken mute supa

781,but sometimes he feels that there really is another way,taso tenpo pi mute wan la ona li pilin e ni nasin ante li lon

782,if only he could stop bumping for a moment and think of it,taso ona li ken ala toki insa e ni tan ni ona li ken ala pini kalama pun

783,and then he feels that perhaps there isn’t,tenpo ante la ona li pilin e ni nasin ante li lon ala

784,anyhow here he is at the bottom and ready to be introduced to you winniethepooh,taso tenpo ni la ona li lon anpa en en jan li ken kama sona e nimi ona wini pu

785,when i first heard his name i said just as you are going to say but i thought he was a boy,mi kute e nimi ona lon tenpo nanpa wan la mi sama sina mi toki e ni taso tawa mi la ona li mije

786,so did i said christopher robin,tawa mi a li toki pi jan kitopa jopin

787,then you can’t call him winnie,tan ni la sina ken ala pana e nimi ‘wini’ tawa ona

788,i don’t,ala

789,but you said ,taso sina toki e ni 

790,he’s winnietherpooh,ona li soweli wini pu

791,don’t you know what ‘ther’ means,seme anu sina sona ala e kon pi nimi ‘pu’

792,ah yes now i do i said quickly,a sona li toki lon tenpo lili

793,and i hope you do too because it is all the explanation you are going to get,sama ni la sina o toki e ni tan ni sina ken kama jo e toki pona ni taso

794,sometimes winniethepooh likes a game of some sort when he comes downstairs,tenpo pi mute wan la soweli wini pu li kama lon anpa kepeken mute supa li wile musi

795,and sometimes he likes to sit quietly in front of the fire and listen to a story,tenpo ante la ona li wile kalama ala lon sinpin seli li wile kute e toki

796,this evening ,tenpo pimeja kama ni la 

797,what about a story said christopher robin,seme toki li lon li toki pi jan kitopa jopin

798,what about a story i said,seme toki li lon li toki mi

799,could you very sweetly tell winniethepooh one,o pona o toki e wan tawa soweli wini pu

800,i suppose i could i said,tawa mi la ken la mi ken li toki mi

801,what sort of stories does he like,toki seme li pona tawa ona

802,about himself,toki pi ona sama

803,because he’s that sort of bear,ona li soweli ni pi luka wawa

804,oh i see,a mi sona

805,so could you very sweetly,ni la sina pona anu seme

806,i’ll try i said,mi lukin ni li toki mi

807,so i tried,ni mi lukin ni

808,,

809,once upon a time a very long time ago now about last friday winniethepooh lived in a forest all by himself under the name of sanders,tenpo wan pini pi weka mute pini pi tenpo esun pini la soweli wini pu li lon ma pi kasi suli li wan taso li lon anpa pi nimi santa

810,what does ‘under the name’ mean asked christopher robin,kon pi nimi ‘lon anpa nimi’ li seme li toki pi wile sona pi jan kitopa jopin

811,it means he had the name over the door in gold letters and lived under it,ni li sama nimi ‘ona li jo e nimi lon sewi pi lupa tomo li lon anpa’

812,winniethepooh wasn’t quite sure said christopher robin,soweli wini pu li pilin sona ala li toki pi jan kitopa jopin

813,now i am said a growly voice,tenpo ni la mi pilin sona li toki kepeken uta suli

814,then i will go on said i,ni la mi awen pali li toki mi

815,one day when he was out walking he came to an open place in the middle of the forest,tenpo suno wan la ona li weka li tawa la ona li kama lon ma taso lon insa pi ma pi kasi suli

816,and in the middle of this place was a large oaktree,insa ona la kasi suli li lon

817,and from the top of the tree there came a loud buzzingnoise,tan lawa pi kasi suli la kalama sss wawa li kama

818,winniethepooh sat down at the foot of the tree put his head between his paws and began to think,soweli wini pu li kama anpa lon noka pi kasi suli li lon luka tu ona e lawa ona li kama toki insa

819,first of all he said to himself,tenpo nanpa wan la ona li toki insa e ni

820,that buzzingnoise means something,kon pi kalama ‘sss’ ni li lon

821,you don’t get a buzzingnoise like that just buzzing and buzzing without its meaning something,kalama ‘sss’ li kama ala tan ala li awen kalama ‘sss’ taso ala li jo ala e kon ala

822,if there’s a buzzingnoise somebody’s making a buzzingnoise,kalama ‘sss’ li lon la jan a li kalama ‘sss’

823,and the only reason for making a buzzingnoise that i know of is because you’re a bee,mi sona e ni jan li kalama ‘sss’ tan ni taso jan ni li pipi kon pi ko suwi

824,then he thought another long time and said,tenpo suli sin la ona li toki insa li toki e ni

825,and the only reason for being a bee that i know of is making honey,mi sona e ni jan li pipi kon pi ko suwi tan ni taso jan ni li pali e ko suwi

826,and then he got up and said,ni la ona li kama sinpin li toki e ni

827,and the only reason for making honey is so as i can eat it,mi sona e ni jan li pali e ko suwi tan ni taso mi ken moku e ona

828,so he began to climb the tree,ni la ona li kama tawa lawa pi kasi suli kepeken noka en luka

829,he climbed and he climbed and he climbed and as he climbed he sang a little song to himself it went like this,ona li tawa sewi li tawa sewi li tawa sewi li kalama musi lili e ni tawa ona sama

830,isn’t it funny,ni li nasa anu seme

831,how a bear likes honey,ko suwi li pona tawa soweli pi luka wawa

832,buzz buzz buzz,sss sss sss

833,i wonder why he does,mi wile sona e ni tan seme la ona li ni

834,then he climbed a little further … and a little further … and then just a little further,ona li tawa lili li tawa lili li tawa lili

835,by that time he had thought of another song,ni la ona li lon e kalama musi sin

836,it’s a very funny thought that if bears were bees,ni li sitelen insa musi soweli pi luka wawa li pipi kon pi ko suwi la

837,they’d build their nests at the bottom of trees,ona li lon noka pi kasi suli e tomo ona

838,and that being so if the bees were bears,ni  pipi kon pi ko suwi li soweli pi luka wawa  la

839,we shouldn’t have to climb up all these stairs,mi ale li wile ala tawa sewi kepeken mute supa suli ni

840,he was getting rather tired by this time,tenpo ni la ona li kama wile lape

841,so that is why he sang a complaining song,tan ni la ona li kalama pi pilin ike

842,he was nearly there now,ona li weka pi lili taso tan pini nasin

843,and if he just stood on that branch…,ona li ken noka e palisa kasi ni taso la …

844,crack,ka

845,oh help said pooh as he dropped ten feet on the branch below him,o pana e pona li toki pi soweli pu lon tenpo ni ona li kiwen utala tawa palisa kasi lon anpa

846,if only i hadn’t  he said as he bounced twenty feet on to the next branch,mi ike –  li toki ona lon tenpo ni ona li kiwen utala tawa palisa kasi ante lon anpa sin

